file,label_id,condition,condition_bn,urgency
mpox_1_000000.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000001.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000002.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000003.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000004.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000005.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000006.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000007.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000008.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000009.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000010.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000011.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000012.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000013.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000014.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000015.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000016.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000017.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000018.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000019.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000020.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000021.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000022.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000023.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000024.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000025.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000026.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000027.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000028.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000029.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
mpox_1_000030.jpg,1,Chickenpox,জলবসন্ত (চিকেনপক্স),get_it_checked
